t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2
0.970769,-0.8065664118035342,-0.7445701285884946,3.5274935008686454,0.5897081701597564,-0.4529550057188331,0.535519328963806,-0.40036867954470917,0.9298936732696473,11.083808075750358,-0.2804488892998427,0.8968261473194515,1.107561236962833,0.299974715909062,32.232551121911484,2.8996118697572832,-9.059649681232768,-0.21194818606699173,0.19167065901157046,0.0004514421949699223,6.8792559162571285,6.879177864496447,6.879198503186691,6.879261205912744,0.03333611599952011,0.01363847621565939,0.08995014396736431,0.9976017974100331,6.184876069405422e-05,0.0457917087356866,0.9976652877699099,7.623539803481206e-05,0.045058459190346484
0.995038,-0.7745102504131332,-0.47467038999997807,3.5179976833246953,0.588776412110214,-0.4391441271831268,0.540681985376411,-0.41007042956706163,1.7121525874727253,11.154179397718254,-0.500319531741288,0.8916823299010602,1.1122129345909817,0.29998567205956733,32.29605484499103,1.8680786892210794,-8.628444325499427,-0.22619837108867905,0.19286767221533158,0.0002719361243479651,6.87924520622059,6.879214417608501,6.8792396979954455,6.879261240779306,0.02558021967640379,0.007755896323116319,0.08984601286290284,0.9975381204934411,6.36769165919945e-05,0.04583232449795041,0.9975885716512177,7.671611869208313e-05,0.04506863080395201
1.01931,-0.7234487153599405,-0.2033661697606615,3.503293437502961,0.5876017937488238,-0.42521074052671654,0.5457355467817073,-0.41963396611216236,2.495952687580579,11.19951621271465,-0.7097251560059619,0.8861926715897127,1.1168936827973959,0.2999922717375314,32.32149492697766,0.8288739108449155,-8.211346284762726,-0.23237626843149498,0.20885642508338728,6.959260302634763e-05,6.879184497970915,6.8791743191098575,6.879253341936471,6.879261154649026,0.02061121865201331,0.0049690010243904825,0.08962581819910002,0.9974723851946751,6.573529876604772e-05,0.045877861520161864,0.9975112723818386,7.72992693792213e-05,0.04508168587476294
1.04358,-0.65335560937798,0.0687326424574854,3.483630626013722,0.5861825291713421,-0.4111592560600315,0.5506816321051451,-0.4290545922424126,3.2803701986664477,11.21963233703433,-0.9090081356425747,0.8805530805209744,1.1219624655844649,0.2999939606958107,32.2580816752732,-0.23620247632250133,-7.81842924367017,-0.25163615375252346,6.739241380869548,1.4194881111072093e-05,6.857411327525054,6.857407269669103,6.879257362606557,6.87926093783655,0.017173920688322762,0.0034372979636905446,0.08922175665613365,0.9974043351637504,6.80500309246788e-05,0.04592818166856407,0.9974332895859209,7.798279591763032e-05,0.04509895648927862
1.06785,-0.5642421085505299,0.34100910792064354,3.4592487762885002,0.5839806431713983,-0.39657479921102745,0.5560798208837898,-0.43871433101219337,4.063248719517358,11.213899886879787,-1.0987553246812163,0.8744460670343852,1.2855186056247643,0.2999943051945208,32.25572383691887,-1.386255948137785,-7.460429549739388,-0.270178958191755,0.2894424505998743,5.930667793719823e-06,6.878905636750546,6.878903825805201,6.879258926851196,6.8792605361538355,0.014665947742958811,0.002507972945363953,0.08854978245138904,0.997333683646109,7.065151764139947e-05,0.04598244502812518,0.9973545297365968,7.875984932410564e-05,0.045122584470552514
1.09211,-0.45612731307711146,0.6128109838065408,3.4303690877685087,0.5809642662172443,-0.38144219583254074,0.5619172592359941,-0.4485881861873815,4.846070017467607,11.180256534583647,-1.2798141399451568,0.8678890341245102,1.2925431484936847,0.2999944491272096,32.15886214540158,-2.559506621849734,-7.1298703021440595,-0.2720101640521853,0.1956375056037229,-1.7249738269046493e-05,6.87921250510666,6.879213072347406,6.879259702521794,6.879259721772149,0.012762969237366762,0.0019029785055920479,0.08751265328077809,0.9972601083757,7.357527040907203e-05,0.0460384707891628,0.9972749151716145,7.961456498238381e-05,0.04515596671794052
1.11638,-0.3290403651215018,0.8834509634946507,3.3971934971119433,0.5776623616429111,-0.366182846851356,0.5676241053019477,-0.45827850493940614,5.626540557597055,11.118139302121005,-1.452850539697347,0.8612875592744784,1.2972911183993907,0.29999403048949524,32.01630283317308,-3.7336580561254498,-6.8178928067442,-0.27429061199197435,0.18512808194673924,-0.00013704392373815007,6.87923888707224,6.879245863720764,6.879260070119721,6.8792577529646035,0.011275141406944874,0.001487827830421889,0.08600758283467262,0.9971832454496257,7.686292607427369e-05,0.046092209590254875,0.997194402861072,8.051231054254309e-05,0.0452037125353475
1.14065,-0.18305178241713488,1.1522376048632417,3.359911241785248,0.5740852806520083,-0.3508087017389621,0.5731900201302281,-0.46777402722008765,6.403551294238668,11.027526328734458,-1.6183154885927855,0.8546307397288769,1.3017840327772945,0.2999907045401909,31.828861338054,-4.906465963818359,-6.524850664483157,-0.2777967362678227,0.18177806327641477,-0.00034732680149488995,6.879236714238523,6.879255854130352,6.8792600201263765,6.879252689345798,0.01008407318047526,0.0011910682264696145,0.08394086986757242,0.997102680687122,8.05647625036764e-05,0.0461402462357009,0.9971130141696353,8.138869143669445e-05,0.045268123884730484
1.16492,-0.01825876237798074,1.4184796373571942,3.3187005222767816,0.5702360922824541,-0.33532608384285983,0.5786126887020812,-0.47706872400207045,7.176012971766286,10.908450220767882,-1.7766685329059946,0.8478888292775413,1.3061956448109409,0.29998227518920395,31.596851123964036,-6.07600062754969,-6.2512502170623,-0.28631902229681117,0.1811545768782632,-0.0007165899683157407,6.879208120990242,6.879258902635179,6.879259529821958,6.879233112235943,0.009112165683169299,0.0009719074973059607,0.08125185602148664,0.9970179337218649,8.47469652571762e-05,0.04619043267150043,0.9970308383282465,8.21758413887629e-05,0.04533932043902877
1.18919,0.16521515045077834,1.6814871536819012,3.273728239760135,0.5661168921509184,-0.3197412467903854,0.5838911350427222,-0.4861566993625849,7.942843942078965,10.760990417303143,-1.9283815074302684,0.8409400895811251,1.3105921253152524,0.29996488410872685,31.11484129838602,-7.158524152631229,-6.110894600729148,-29.752417828407733,0.1017141205303639,-0.0003026822229590589,6.780998600513438,6.879260097851787,6.879258106742903,6.781006900600135,0.008306472013196705,0.000805693669972594,0.07794592261755208,0.9969284382218947,8.949549997024104e-05,0.04626363640191011,0.9969479510489028,8.288727934360227e-05,0.045398957539723124
